STATION,STATION_NAME,DATE,HPCP
COOP:317069,RALEIGH AIRPORT NC US,19520622 02:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520622 16:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520629 14:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520701 01:00,0.00
COOP:317069,RALEIGH AIRPORT NC US,19520707 15:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520707 18:00,0.46
COOP:317069,RALEIGH AIRPORT NC US,19520707 19:00,0.58
COOP:317069,RALEIGH AIRPORT NC US,19520708 05:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520708 06:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520708 07:00,0.32
COOP:317069,RALEIGH AIRPORT NC US,19520708 08:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520708 14:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520709 15:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520709 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520709 21:00,0.12
COOP:317069,RALEIGH AIRPORT NC US,19520723 16:00,0.47
COOP:317069,RALEIGH AIRPORT NC US,19520723 17:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520723 18:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520723 19:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520723 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520729 19:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520729 20:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520730 19:00,0.85
COOP:317069,RALEIGH AIRPORT NC US,19520730 20:00,1.88
COOP:317069,RALEIGH AIRPORT NC US,19520730 21:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520730 22:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520731 03:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520731 17:00,0.97
COOP:317069,RALEIGH AIRPORT NC US,19520731 18:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520731 19:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520731 20:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520731 21:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520731 22:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520731 23:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520801 00:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520801 01:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520801 02:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520801 03:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520801 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520801 21:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520801 22:00,0.23
COOP:317069,RALEIGH AIRPORT NC US,19520801 23:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520802 00:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520802 08:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520802 09:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520802 12:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520805 15:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520805 17:00,0.32
COOP:317069,RALEIGH AIRPORT NC US,19520805 18:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520806 01:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520806 20:00,0.33
COOP:317069,RALEIGH AIRPORT NC US,19520806 21:00,0.66
COOP:317069,RALEIGH AIRPORT NC US,19520806 22:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520807 07:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520807 20:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520808 00:00,0.37
COOP:317069,RALEIGH AIRPORT NC US,19520808 09:00,0.20
COOP:317069,RALEIGH AIRPORT NC US,19520808 10:00,0.09
